year,gender,age,constituency_area,area,value,elderly
2015,None,65 - 69,Ang Mo Kio,Ang Mo Kio Town Centre,270,Y
2015,None,65 - 69,Ang Mo Kio,Cheng San,1920,Y
2015,None,65 - 69,Ang Mo Kio,Chong Boon,1950,Y
2015,None,65 - 69,Ang Mo Kio,Kebun Bahru,1610,Y
2015,None,65 - 69,Ang Mo Kio,Sembawang Hills,400,Y
2015,None,65 - 69,Ang Mo Kio,Shangri-La,1110,Y
2015,None,65 - 69,Ang Mo Kio,Tagore,400,Y
2015,None,65 - 69,Ang Mo Kio,Townsville,1590,Y
2015,None,65 - 69,Ang Mo Kio,Yio Chu Kang East,230,Y
2015,None,65 - 69,Ang Mo Kio,Yio Chu Kang West,1580,Y
2015,None,65 - 69,Bedok,Bayshore,290,Y
2015,None,65 - 69,Bedok,Bedok North,5350,Y
2015,None,65 - 69,Bedok,Bedok Reservoir,1200,Y
2015,None,65 - 69,Bedok,Bedok South,3090,Y
2015,None,65 - 69,Bedok,Frankel,1750,Y
2015,None,65 - 69,Bedok,Kaki Bukit,2230,Y
2015,None,65 - 69,Bedok,Kembangan,2310,Y
2015,None,65 - 69,Bedok,Siglap,520,Y
2015,None,65 - 69,Bishan,Bishan East,1680,Y
2015,None,65 - 69,Bishan,Marymount,1380,Y
2015,None,65 - 69,Bishan,Upper Thomson,1800,Y
2015,None,65 - 69,Bukit Batok,Bukit Batok Central,1210,Y
2015,None,65 - 69,Bukit Batok,Bukit Batok East,720,Y
2015,None,65 - 69,Bukit Batok,Bukit Batok South,460,Y
2015,None,65 - 69,Bukit Batok,Bukit Batok West,710,Y
2015,None,65 - 69,Bukit Batok,Gombak,460,Y
2015,None,65 - 69,Bukit Batok,Guilin,510,Y
2015,None,65 - 69,Bukit Batok,Hillview,720,Y
2015,None,65 - 69,Bukit Batok,Hong Kah North,1210,Y
2015,None,65 - 69,Bukit Merah,Alexandra Hill,1080,Y
2015,None,65 - 69,Bukit Merah,Alexandra North,30,Y
2015,None,65 - 69,Bukit Merah,Bukit Ho Swee,1070,Y
2015,None,65 - 69,Bukit Merah,Bukit Merah,100,Y
2015,None,65 - 69,Bukit Merah,Depot Road,290,Y
2015,None,65 - 69,Bukit Merah,Everton Park,600,Y
2015,None,65 - 69,Bukit Merah,Henderson Hill,850,Y
2015,None,65 - 69,Bukit Merah,Kampong Tiong Bahru,770,Y
2015,None,65 - 69,Bukit Merah,Maritime Square,80,Y
2015,None,65 - 69,Bukit Merah,Redhill,580,Y
2015,None,65 - 69,Bukit Merah,Telok Blangah Drive,1130,Y
2015,None,65 - 69,Bukit Merah,Telok Blangah Rise,1090,Y
2015,None,65 - 69,Bukit Merah,Telok Blangah Way,710,Y
2015,None,65 - 69,Bukit Merah,Tiong Bahru,760,Y
2015,None,65 - 69,Bukit Merah,Tiong Bahru Station,890,Y
2015,None,65 - 69,Bukit Panjang,Bangkit,1070,Y
2015,None,65 - 69,Bukit Panjang,Dairy Farm,220,Y
2015,None,65 - 69,Bukit Panjang,Fajar,920,Y
2015,None,65 - 69,Bukit Panjang,Jelebu,1370,Y
2015,None,65 - 69,Bukit Panjang,Nature Reserve,160,Y
2015,None,65 - 69,Bukit Panjang,Saujana,780,Y
2015,None,65 - 69,Bukit Panjang,Senja,670,Y
2015,None,65 - 69,Bukit Timah,Anak Bukit,1140,Y
2015,None,65 - 69,Bukit Timah,Coronation Road,320,Y
2015,None,65 - 69,Bukit Timah,Farrer Court,270,Y
